MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
Arrow,2012-2020,"
Action, Adventure, Crime            ",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","
Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson
",Not specified,414712,42,Not specified
Orange Is the New Black,2013-2019,"
Comedy, Crime, Drama            ",8,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.","
Taylor Schilling, 
Danielle Brooks, 
Taryn Manning, 
Emma Myles
",Not specified,284554,59,Not specified
Gossip Girl,2007-2012,"
Drama, Romance            ",7.4,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,"
Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick
",Not specified,159666,42,Not specified
Bridgerton,2020,"
Drama, Romance            ",7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","
Phoebe Dynevor, 
Reg-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey
",Not specified,83944,60,Not specified
The Kominsky Method,2018-2021,"
Comedy, Drama            ",8.2,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","
Michael Douglas, 
Sarah Baker, 
Graham Rogers, 
Melissa Tang
",Not specified,33440,30,Not specified
Homeland,2011-2020,"
Crime, Drama, Mystery            ",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,"
Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend
",Not specified,322307,55,Not specified
Riverdale,2017,"
Crime, Drama, Mystery            ",6.8,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","
K.J. Apa, 
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse
",Not specified,126112,45,Not specified
Sherlock,2010-2017,"
Crime, Drama, Mystery            ",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"
Benedict Cumberbatch, 
Martin Freeman, 
Una Stubbs, 
Rupert Graves
",Not specified,839029,88,Not specified
La cocinera de Castamar,2021,"
Drama            ",7.4,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.","
Michelle Jenner, 
Roberto Enrquez, 
Hugo Silva, 
Maxi Iglesias
",Not specified,1336,Not specified,Not specified
Queen of the South,2016-2021,"
Action, Crime, Drama            ",8,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,"
Alice Braga, 
Hemky Madera, 
Peter Gadiot, 
Veronica Falcn
",Not specified,23318,42,Not specified
CSI,2000-2015,"
Crime, Drama, Mystery            ",7.6,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,"
Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
",Not specified,78589,60,Not specified
The Umbrella Academy,2019,"
Action, Adventure, Comedy            ",8,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.","
Elliot Page, 
Tom Hopper, 
David Castaeda, 
Emmy Raver-Lampman
",Not specified,175513,60,Not specified
Supergirl,2015-2021,"
Action, Adventure, Drama            ",6.2,The adventures of Superman's cousin in her own superhero career.,"
Melissa Benoist, 
Chyler Leigh, 
David Harewood, 
Mehcad Brooks
",Not specified,115373,43,Not specified
BoJack Horseman,2014-2020,"
Animation, Comedy, Drama            ",8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Aaron Paul
",Not specified,124318,25,Not specified
The Lord of the Rings,2001,"
Action, Adventure, Drama            ",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","
Peter Jackson",1713028,178,$315.54M
I Think You Should Leave with Tim Robinson,2019,"
Comedy            ",7.8,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","
Tim Robinson, 
Sam Richardson, 
Patti Harrison, 
Conner O'Malley
",Not specified,8095,16,Not specified
South Park,1997,"
Animation, Comedy            ",8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","
Trey Parker, 
Matt Stone, 
Isaac Hayes, 
Mona Marshall
",Not specified,340148,22,Not specified
Once Upon a Time,2011-2018,"
Adventure, Fantasy, Romance            ",7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"
Ginnifer Goodwin, 
Jennifer Morrison, 
Lana Parrilla, 
Robert Carlyle
",Not specified,212616,60,Not specified
Star Trek,2017,"
Action, Adventure, Drama            ",7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","
Sonequa Martin-Green, 
Doug Jones, 
Anthony Rapp, 
Mary Wiseman
",Not specified,101079,60,Not specified
Teen Wolf,2011-2017,"
Action, Drama, Fantasy            ",7.6,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"
Tyler Posey, 
Holland Roden, 
Dylan O'Brien, 
Linden Ashby
",Not specified,132950,41,Not specified
How to Get Away with Murder,2014-2020,"
Crime, Drama, Mystery            ",8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"
Viola Davis, 
Billy Brown, 
Jack Falahee, 
Aja Naomi King
",Not specified,136135,43,Not specified
Star Trek,1993-1999,"
Action, Adventure, Drama            ",8,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.","
Avery Brooks, 
Rene Auberjonois, 
Cirroc Lofton, 
Alexander Siddig
",Not specified,55687,45,Not specified
Seinfeld,1989-1998,"
Comedy            ",8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"
Jerry Seinfeld, 
Julia Louis-Dreyfus, 
Michael Richards, 
Jason Alexander
",Not specified,264801,22,Not specified
Spartacus,2010-2013,"
Action, Adventure, Biography            ",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","
Andy Whitfield, 
Lucy Lawless, 
Manu Bennett, 
Daniel Feuerriegel
",Not specified,228484,55,Not specified
Hawaii Five0,2010-2020,"
Action, Crime, Drama            ",7.3,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,"
Alex O'Loughlin, 
Scott Caan, 
Taylor Wily, 
Daniel Dae Kim
",Not specified,68627,42,Not specified
Good Witch,2015-2021,"
Comedy, Drama, Fantasy            ",7.3,"Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","
Catherine Bell, 
Catherine Disher, 
James Denton, 
Kylee Evans
",Not specified,8268,48,Not specified
The Sinner,2017,"
Crime, Drama, Mystery            ",7.9,Anthology series that examines how and why ordinary people commit brutal crimes.,"
Bill Pullman, 
Dohn Norwood, 
Adam LeFevre, 
Jessica Biel
",Not specified,96901,45,Not specified
Arrested Development,2003-2019,"
Comedy            ",8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","
Jason Bateman, 
Michael Cera, 
Portia de Rossi, 
Will Arnett
",Not specified,284373,22,Not specified
Escape Room,2019,"
Action, Adventure, Horror            ",6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,"
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
","
Adam Robitel",99351,99,$57.01M
You,2018,"
Crime, Drama, Romance            ",7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","
Penn Badgley, 
Victoria Pedretti, 
Ambyr Childers, 
Elizabeth Lail
",Not specified,157666,45,Not specified
Mindhunter,2017-2019,"
Crime, Drama, Thriller            ",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","
Jonathan Groff, 
Holt McCallany, 
Anna Torv, 
Hannah Gross
",Not specified,235694,60,Not specified
Jaws,1975,"
Adventure, Thriller            ",8,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
","
Steven Spielberg",558731,124,$260.00M
Avatar,2005-2008,"
Animation, Action, Adventure            ",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","
Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena
",Not specified,265845,23,Not specified
The Punisher,2017-2019,"
Action, Crime, Drama            ",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","
Jon Bernthal, 
Amber Rose Revah, 
Ben Barnes, 
Jason R. Moore
",Not specified,194777,53,Not specified
Star Trek,1995-2001,"
Action, Adventure, Sci-Fi            ",7.8,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","
Kate Mulgrew, 
Robert Beltran, 
Roxann Dawson, 
Robert Duncan McNeill
",Not specified,61917,44,Not specified
The Departed,2006,"
Crime, Drama, Thriller            ",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","
Martin Scorsese",1227522,151,$132.38M
Narcos,2015-2017,"
Biography, Crime, Drama            ",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","
Pedro Pascal, 
Lizbeth Eden, 
Wagner Moura, 
Boyd Holbrook
",Not specified,375261,49,Not specified
The Serpent,2021,"
Crime, Drama, Thriller            ",7.6,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","
Tahar Rahim, 
Billy Howle, 
Jenna Coleman, 
Ellie Bamber
",Not specified,33936,58,Not specified
Star Wars,2008-2020,"
Animation, Action, Adventure            ",8.3,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"
Tom Kane, 
Dee Bradley Baker, 
Matt Lanter, 
James Arnold Taylor
",Not specified,71904,23,Not specified
"Murder, She Wrote",1984-1996,"
Crime, Drama, Mystery            ",7,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.","
Angela Lansbury, 
William Windom, 
Ron Masak, 
Louis Herthum
",Not specified,20330,50,Not specified
Fatherhood,2021,"
Comedy, Drama            ",6.7,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,"
Kevin Hart, 
Alfre Woodard, 
Lil Rel Howery, 
DeWanda Wise
","
Paul Weitz",26508,109,Not specified
Blue Bloods,2010,"
Crime, Drama, Mystery            ",7.6,Revolves around a family of New York cops.,"
Donnie Wahlberg, 
Bridget Moynahan, 
Will Estes, 
Len Cariou
",Not specified,34064,43,Not specified
Heist,2021,"
Documentary, Crime, Mystery            ",6.8,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,"
William Guirola, 
Megan Barlow, 
Scott Bender, 
Jonny Carlson
",Not specified,846,41,Not specified
The Woman in the Window,2021,"
Crime, Drama, Mystery            ",5.7,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","
Amy Adams, 
Gary Oldman, 
Anthony Mackie, 
Fred Hechinger
","
Joe Wright",57048,100,Not specified
Black Summer,2019,"
Action, Drama, Horror            ",6.5,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","
Jaime King, 
Justin Chu Cary, 
Christine Lee, 
Zoe Marlett
",Not specified,25453,40,Not specified
